no	Annotation	Filename	Random Forest	kNN	AdaBoost
1036	stop	nightTest/nightSequence1--00158.jpg	stop	stop	stop
1037	go	nightTest/nightSequence2--03132.jpg	go	go	go
1038	go	nightTest/nightSequence2--03137.jpg	go	go	go
1039	go	dayTest/daySequence1--02393.jpg	go	go	go
1040	go	nightTest/nightSequence2--04565.jpg	go	go	go
1041	stop	dayTest/daySequence2--00238.jpg	stop	stop	stop
1042	go	nightTest/nightSequence1--02239.jpg	go	go	go
1043	go	nightTest/nightSequence2--01506.jpg	go	go	go
1044	stop	nightTest/nightSequence2--04225.jpg	stop	stop	stop
1045	go	nightTest/nightSequence1--03487.jpg	go	go	go
1046	go	dayTest/daySequence1--02600.jpg	go	go	go
1047	stopLeft	nightTest/nightSequence1--03601.jpg	stopLeft	stopLeft	stopLeft
1048	stop	nightTest/nightSequence1--01619.jpg	stop	stop	stop
1049	stop	nightTest/nightSequence1--02910.jpg	stop	stop	stop
1050	stop	nightTest/nightSequence2--00737.jpg	stop	stop	stop
1051	stop	nightTest/nightSequence2--01750.jpg	stop	stop	stop
1052	go	dayTest/daySequence1--03842.jpg	go	go	go
1053	go	nightTest/nightSequence2--03251.jpg	go	go	go
1054	go	nightTest/nightSequence2--02796.jpg	go	go	go
1055	go	nightTest/nightSequence2--04286.jpg	go	go	go
1056	warning	dayTest/daySequence1--01925.jpg	warning	warning	warning
1057	go	dayTest/daySequence2--06595.jpg	go	go	go
1058	warning	nightTest/nightSequence1--02733.jpg	warning	warning	warning
1059	stop	nightTest/nightSequence2--01685.jpg	stop	stop	stop
1060	stopLeft	nightTest/nightSequence1--03597.jpg	stopLeft	stopLeft	stopLeft
1061	stopLeft	dayTest/daySequence2--04652.jpg	stopLeft	stopLeft	stopLeft
1062	go	dayTest/daySequence1--03331.jpg	go	go	go
1063	stopLeft	nightTest/nightSequence2--01154.jpg	stopLeft	stopLeft	stopLeft
1064	go	nightTest/nightSequence2--04133.jpg	go	go	go
1065	go	nightTest/nightSequence2--04572.jpg	go	go	go
1066	go	nightTest/nightSequence2--03008.jpg	go	go	go
1067	stop	nightTest/nightSequence2--06271.jpg	stop	stop	stop
1068	stop	nightTest/nightSequence2--00399.jpg	stop	stop	stop
1069	stopLeft	dayTest/daySequence2--06026.jpg	stopLeft	stopLeft	stopLeft
1070	go	nightTest/nightSequence2--05567.jpg	go	go	go
1071	go	dayTest/daySequence1--03270.jpg	go	go	go
1072	stop	nightTest/nightSequence2--04236.jpg	stop	stop	stop
1073	stop	nightTest/nightSequence1--00853.jpg	stop	stop	stop
1074	stop	dayTest/daySequence2--00923.jpg	stop	stop	stop
1075	stop	nightTest/nightSequence2--06047.jpg	stop	stop	stop
1076	stop	dayTest/daySequence1--02443.jpg	stop	stop	stop
1077	go	dayTest/daySequence1--02619.jpg	go	go	go
1078	go	dayTest/daySequence1--03070.jpg	go	go	go
1079	stop	nightTest/nightSequence2--00909.jpg	stop	stop	stop
1080	stop	dayTest/daySequence2--06012.jpg	stop	stop	stop
1081	go	nightTest/nightSequence1--04605.jpg	go	go	go
1082	go	nightTest/nightSequence1--02262.jpg	go	go	go
1083	stop	nightTest/nightSequence2--00161.jpg	stop	stop	stop
1084	go	nightTest/nightSequence1--02294.jpg	go	go	go
1085	go	nightTest/nightSequence2--04280.jpg	go	go	go
1086	stop	nightTest/nightSequence2--03465.jpg	stop	stop	stop
1087	goLeft	dayTest/daySequence2--06325.jpg	goLeft	goLeft	goLeft
1088	go	nightTest/nightSequence1--02586.jpg	go	go	go
1089	go	dayTest/daySequence1--01311.jpg	go	go	go
1090	go	nightTest/nightSequence1--01961.jpg	go	go	go
1091	goLeft	nightTest/nightSequence1--03800.jpg	goLeft	goLeft	goLeft
1092	goForward	dayTest/daySequence2--03010.jpg	goForward	goForward	goForward
1093	go	nightTest/nightSequence2--05313.jpg	go	go	go
1094	stop	nightTest/nightSequence1--02799.jpg	stop	stop	stop
1095	go	dayTest/daySequence1--02541.jpg	go	go	go
1096	stop	nightTest/nightSequence2--01768.jpg	stop	stop	stop
1097	go	nightTest/nightSequence2--02197.jpg	go	go	go
1098	stop	nightTest/nightSequence2--03565.jpg	stop	stop	stop
1099	go	nightTest/nightSequence1--02621.jpg	go	go	go
1100	stop	dayTest/daySequence2--00919.jpg	stop	stop	stop
1101	stop	nightTest/nightSequence2--06245.jpg	stop	stop	stop
1102	stop	dayTest/daySequence1--03498.jpg	stop	stop	stop
1103	go	nightTest/nightSequence2--05454.jpg	go	go	go
1104	go	dayTest/daySequence2--01280.jpg	go	go	go
1105	stop	nightTest/nightSequence2--06087.jpg	stop	stop	stop
1106	stop	nightTest/nightSequence1--00623.jpg	stop	stop	stop
1107	stopLeft	nightTest/nightSequence2--04754.jpg	stopLeft	stopLeft	stopLeft
1108	stop	nightTest/nightSequence1--02956.jpg	stop	stop	stop
1109	stop	nightTest/nightSequence2--02147.jpg	stop	stop	stop
1110	go	nightTest/nightSequence2--02223.jpg	go	go	go
1111	stop	nightTest/nightSequence1--02800.jpg	stop	stop	stop
1112	go	nightTest/nightSequence2--04135.jpg	go	go	go
1113	stop	dayTest/daySequence1--02448.jpg	stop	stop	stop
1114	go	dayTest/daySequence1--01844.jpg	go	go	go
1115	goLeft	nightTest/nightSequence1--03835.jpg	goLeft	goLeft	goLeft
1116	stop	nightTest/nightSequence1--01439.jpg	stop	stop	stop
1117	stop	dayTest/daySequence1--01976.jpg	stop	stop	stop
1118	go	nightTest/nightSequence2--04543.jpg	go	go	go
1119	go	nightTest/nightSequence2--01365.jpg	go	go	go
1120	go	nightTest/nightSequence1--03495.jpg	go	go	go
1121	stop	dayTest/daySequence2--06095.jpg	stop	stop	stop
1122	go	nightTest/nightSequence1--02325.jpg	go	go	go
1123	go	dayTest/daySequence2--04502.jpg	go	go	go
1124	stop	nightTest/nightSequence2--03473.jpg	stop	stop	stop
1125	stop	dayTest/daySequence1--02493.jpg	stop	stop	stop
1126	go	nightTest/nightSequence1--03261.jpg	go	go	go
1127	stop	nightTest/nightSequence1--00537.jpg	stop	stop	stop
1128	stopLeft	nightTest/nightSequence2--01230.jpg	stopLeft	stopLeft	stopLeft
1129	stop	dayTest/daySequence1--00024.jpg	stop	stop	stop
1130	go	dayTest/daySequence1--01082.jpg	go	go	go
1131	stop	dayTest/daySequence2--05394.jpg	stop	stop	stop
1132	warning	dayTest/daySequence1--01919.jpg	warning	warning	warning
1133	go	dayTest/daySequence2--06639.jpg	go	go	go
1134	go	nightTest/nightSequence1--04787.jpg	go	go	go
1135	stop	nightTest/nightSequence2--03449.jpg	stop	stop	stop
1136	go	nightTest/nightSequence2--04059.jpg	go	go	go
1137	go	nightTest/nightSequence2--02972.jpg	go	go	go
1138	go	dayTest/daySequence2--01173.jpg	go	go	go
1139	stop	nightTest/nightSequence2--01952.jpg	stop	stop	stop
1140	stop	nightTest/nightSequence1--03039.jpg	stop	stop	stop
1141	go	nightTest/nightSequence2--01921.jpg	go	go	go
1142	stop	dayTest/daySequence2--06142.jpg	stop	stop	stop
1143	stop	dayTest/daySequence1--03609.jpg	stop	stop	stop
1144	go	dayTest/daySequence1--02743.jpg	go	go	go
1145	go	dayTest/daySequence1--03654.jpg	go	go	go
1146	go	nightTest/nightSequence1--04395.jpg	go	go	go
1147	go	nightTest/nightSequence2--02688.jpg	go	go	go
1148	go	dayTest/daySequence1--01124.jpg	go	go	go
1149	go	nightTest/nightSequence1--02067.jpg	go	go	go
1150	go	nightTest/nightSequence2--05481.jpg	go	go	go
1151	warning	nightTest/nightSequence1--02680.jpg	warning	warning	warning
1152	stop	nightTest/nightSequence2--03559.jpg	stop	stop	stop
1153	go	nightTest/nightSequence1--04122.jpg	go	go	go
1154	stop	nightTest/nightSequence2--00162.jpg	stop	stop	stop
1155	stop	nightTest/nightSequence1--01395.jpg	stop	stop	stop
1156	stop	nightTest/nightSequence1--00671.jpg	stop	stop	stop
1157	stop	nightTest/nightSequence2--00976.jpg	stop	stop	stop
1158	go	dayTest/daySequence1--02671.jpg	go	go	go
1159	go	nightTest/nightSequence1--00460.jpg	go	go	go
1160	stop	nightTest/nightSequence1--01506.jpg	stop	stop	stop
1161	go	nightTest/nightSequence1--04120.jpg	go	go	go
1162	go	dayTest/daySequence1--04014.jpg	go	go	go
1163	go	nightTest/nightSequence2--01285.jpg	go	go	go
1164	stop	dayTest/daySequence1--00863.jpg	stop	stop	stop
1165	go	nightTest/nightSequence2--03902.jpg	go	go	go
1166	stop	dayTest/daySequence1--03499.jpg	stop	stop	stop
1167	stop	dayTest/daySequence1--00836.jpg	stop	stop	stop
1168	go	nightTest/nightSequence1--04279.jpg	go	go	go
1169	stop	nightTest/nightSequence2--03420.jpg	stop	stop	stop
1170	stop	nightTest/nightSequence1--03296.jpg	stop	stop	stop
1171	go	nightTest/nightSequence1--02515.jpg	go	go	go
1172	go	dayTest/daySequence1--01049.jpg	go	go	go
1173	stop	nightTest/nightSequence1--03029.jpg	stop	stop	stop
1174	go	nightTest/nightSequence1--01956.jpg	go	go	go
1175	stop	dayTest/daySequence1--00625.jpg	stop	stop	stop
1176	go	nightTest/nightSequence1--03393.jpg	go	go	go
1177	stop	nightTest/nightSequence1--01307.jpg	stop	stop	stop
1178	stop	nightTest/nightSequence1--03597.jpg	stop	stop	stop
1179	stopLeft	dayTest/daySequence2--05075.jpg	stopLeft	stopLeft	stopLeft
1180	goLeft	nightTest/nightSequence1--03912.jpg	goLeft	goLeft	goLeft
1181	stopLeft	nightTest/nightSequence2--00995.jpg	stopLeft	stopLeft	stopLeft
1182	stopLeft	dayTest/daySequence2--05377.jpg	stopLeft	stopLeft	stopLeft
1183	go	nightTest/nightSequence2--01121.jpg	go	go	go
1184	stop	nightTest/nightSequence1--03284.jpg	stop	stop	stop
1185	warning	dayTest/daySequence1--01885.jpg	warning	warning	warning
1186	stop	dayTest/daySequence2--06394.jpg	stop	stop	stop
1187	go	nightTest/nightSequence2--04319.jpg	go	go	go
1188	go	dayTest/daySequence1--02797.jpg	go	go	go
1189	stop	dayTest/daySequence1--00039.jpg	stop	stop	stop
1190	stop	nightTest/nightSequence1--03096.jpg	stop	stop	stop
1191	stop	nightTest/nightSequence2--00310.jpg	stop	stop	stop
1192	stop	nightTest/nightSequence1--02727.jpg	stop	stop	stop
1193	go	dayTest/daySequence2--04301.jpg	go	go	go
1194	stop	nightTest/nightSequence2--06515.jpg	stop	stopLeft	stop
1195	stop	nightTest/nightSequence1--03643.jpg	stop	stop	stop
1196	stopLeft	nightTest/nightSequence2--04840.jpg	stopLeft	stopLeft	stopLeft
1197	stop	dayTest/daySequence2--01756.jpg	stop	stop	stop
1198	go	nightTest/nightSequence2--04566.jpg	go	go	go
1199	stop	dayTest/daySequence1--00932.jpg	stop	stop	stop
1200	stop	dayTest/daySequence1--00518.jpg	stop	stop	stop
1201	stop	dayTest/daySequence2--06336.jpg	stop	stop	stop
1202	stop	nightTest/nightSequence2--00482.jpg	stop	stop	stop
1203	warning	nightTest/nightSequence1--02738.jpg	warning	warning	warning
1204	go	nightTest/nightSequence2--03098.jpg	go	go	go
1205	warning	nightTest/nightSequence2--01549.jpg	warning	warning	warning
1206	stop	nightTest/nightSequence2--00381.jpg	stop	stop	stop
1207	stop	dayTest/daySequence2--05627.jpg	stop	stop	stop
1208	stop	nightTest/nightSequence2--06375.jpg	stop	stop	stop
1209	go	nightTest/nightSequence2--02530.jpg	go	go	go
1210	stop	nightTest/nightSequence2--00510.jpg	stop	stop	stop
1211	go	nightTest/nightSequence2--01331.jpg	go	go	go
1212	stop	dayTest/daySequence1--02049.jpg	stop	stop	stop
1213	go	nightTest/nightSequence2--01113.jpg	go	go	go
1214	stopLeft	dayTest/daySequence2--05659.jpg	stopLeft	stopLeft	stopLeft
1215	stop	nightTest/nightSequence1--01617.jpg	stop	stop	stop
1216	stop	dayTest/daySequence1--02149.jpg	stop	stop	stop
1217	stop	nightTest/nightSequence2--03496.jpg	stop	stop	stop
1218	stop	nightTest/nightSequence1--02756.jpg	stop	stop	stop
1219	stop	nightTest/nightSequence1--02698.jpg	stop	stop	stop
1220	stop	nightTest/nightSequence1--03215.jpg	stop	stop	stop
1221	go	dayTest/daySequence1--03809.jpg	go	go	go
1222	stop	nightTest/nightSequence2--01699.jpg	stop	stop	stop
1223	stop	nightTest/nightSequence1--01300.jpg	stop	stop	stop
1224	stop	nightTest/nightSequence1--03066.jpg	stop	stop	stop
1225	stopLeft	dayTest/daySequence2--06087.jpg	stopLeft	stopLeft	stopLeft
1226	go	nightTest/nightSequence1--04514.jpg	go	go	go
1227	go	dayTest/daySequence1--02197.jpg	go	go	go
1228	go	dayTest/daySequence1--02135.jpg	go	go	go
1229	stop	nightTest/nightSequence2--00567.jpg	stop	stop	stop
1230	stop	dayTest/daySequence1--02001.jpg	stop	stop	stop
1231	go	dayTest/daySequence1--01218.jpg	go	go	go
1232	go	nightTest/nightSequence2--04336.jpg	go	go	go
1233	stop	nightTest/nightSequence1--03391.jpg	stop	stop	stop
1234	stopLeft	nightTest/nightSequence2--06442.jpg	stopLeft	stopLeft	stopLeft
1235	go	nightTest/nightSequence1--02527.jpg	go	go	go
1236	stopLeft	nightTest/nightSequence2--06352.jpg	stopLeft	stopLeft	stopLeft
1237	stop	nightTest/nightSequence1--00042.jpg	stop	stop	stop
1238	go	nightTest/nightSequence2--01119.jpg	go	go	go
1239	stop	nightTest/nightSequence2--02000.jpg	stop	stop	stop
1240	go	nightTest/nightSequence2--04031.jpg	go	go	go
1241	warning	dayTest/daySequence1--01914.jpg	warning	warning	warning
1242	go	dayTest/daySequence1--02811.jpg	go	go	go
1243	stop	dayTest/daySequence1--00479.jpg	stop	stop	stop
1244	stop	nightTest/nightSequence2--03515.jpg	stop	stop	stop
1245	stop	nightTest/nightSequence1--03363.jpg	stop	stop	stop
1246	go	nightTest/nightSequence2--04293.jpg	go	go	go
1247	go	nightTest/nightSequence1--02538.jpg	go	go	go
1248	stopLeft	dayTest/daySequence2--05585.jpg	stopLeft	stopLeft	stopLeft
1249	go	nightTest/nightSequence2--01328.jpg	go	go	go
1250	go	dayTest/daySequence1--01045.jpg	go	go	go
1251	go	nightTest/nightSequence1--00066.jpg	go	go	go
1252	go	nightTest/nightSequence2--05621.jpg	go	go	go
1253	go	dayTest/daySequence1--02175.jpg	go	go	go
1254	stop	dayTest/daySequence2--05185.jpg	stop	stop	stop
1255	go	nightTest/nightSequence2--04346.jpg	go	go	go
1256	stopLeft	nightTest/nightSequence2--01239.jpg	stopLeft	stopLeft	stopLeft
1257	go	nightTest/nightSequence2--05370.jpg	go	go	go
1258	warning	dayTest/daySequence1--01906.jpg	warning	warning	warning
1259	stop	nightTest/nightSequence1--00205.jpg	stop	stop	stop
1260	go	dayTest/daySequence2--06877.jpg	go	go	go
1261	stop	nightTest/nightSequence2--00167.jpg	stop	stop	stop
1262	go	dayTest/daySequence2--01493.jpg	go	go	go
1263	go	nightTest/nightSequence2--02781.jpg	go	go	go
1264	stop	nightTest/nightSequence2--03722.jpg	stop	stop	stop
1265	go	nightTest/nightSequence2--05578.jpg	go	go	go
1266	go	dayTest/daySequence1--03402.jpg	go	go	go
1267	stop	nightTest/nightSequence2--01849.jpg	stop	stop	stop
1268	stop	nightTest/nightSequence2--04787.jpg	stop	stop	stop
1269	go	nightTest/nightSequence1--02481.jpg	go	go	go
1270	go	nightTest/nightSequence2--01475.jpg	go	go	go
1271	stop	nightTest/nightSequence2--01665.jpg	stop	stop	stop
1272	go	nightTest/nightSequence2--00666.jpg	go	go	go
1273	stop	dayTest/daySequence1--00630.jpg	stop	stop	stop
1274	stop	nightTest/nightSequence1--03128.jpg	stop	stop	stop
1275	go	nightTest/nightSequence1--02393.jpg	go	go	go
1276	go	nightTest/nightSequence2--04153.jpg	go	go	go
1277	stop	nightTest/nightSequence1--00892.jpg	stop	stop	stop
1278	stop	nightTest/nightSequence2--00488.jpg	stop	stop	stop
1279	goLeft	nightTest/nightSequence1--03707.jpg	goLeft	goLeft	goLeft
1280	go	dayTest/daySequence2--04558.jpg	go	go	go
1281	go	dayTest/daySequence2--01506.jpg	go	go	go
1282	go	dayTest/daySequence1--03400.jpg	go	go	go
1283	stop	nightTest/nightSequence1--03200.jpg	stop	stop	stop
1284	go	nightTest/nightSequence2--04478.jpg	go	go	go
1285	stop	nightTest/nightSequence1--03172.jpg	stop	stop	stop
1286	go	dayTest/daySequence2--01490.jpg	go	go	go
1287	go	dayTest/daySequence1--03938.jpg	go	go	go
1288	stop	nightTest/nightSequence1--00891.jpg	stop	stop	stop
1289	stop	nightTest/nightSequence1--02768.jpg	stop	stop	stop
1290	go	dayTest/daySequence1--03050.jpg	go	go	go
1291	stop	nightTest/nightSequence2--01555.jpg	stop	stop	stop
1292	stop	nightTest/nightSequence1--02824.jpg	stop	stop	stop
1293	stop	nightTest/nightSequence2--00381.jpg	stop	stop	stop
1294	go	nightTest/nightSequence1--04529.jpg	go	go	go
1295	stop	nightTest/nightSequence2--01579.jpg	stop	stop	stop
1296	go	nightTest/nightSequence2--03087.jpg	go	go	go
1297	stop	nightTest/nightSequence2--03607.jpg	stop	stop	stop
1298	go	nightTest/nightSequence2--01448.jpg	go	go	go
1299	go	nightTest/nightSequence1--02333.jpg	go	go	go
1300	stop	nightTest/nightSequence2--01592.jpg	stop	stop	stop
1301	stop	nightTest/nightSequence1--01555.jpg	stop	stop	stop
1302	go	nightTest/nightSequence2--03750.jpg	go	go	go
1303	go	dayTest/daySequence1--02421.jpg	go	go	go
1304	go	nightTest/nightSequence1--02595.jpg	go	go	go
1305	go	nightTest/nightSequence1--04307.jpg	go	go	go
1306	stop	nightTest/nightSequence2--03330.jpg	stop	stop	stop
1307	go	nightTest/nightSequence2--05430.jpg	go	go	go
1308	stop	nightTest/nightSequence1--01215.jpg	stop	stop	stop
1309	stop	dayTest/daySequence2--00904.jpg	stop	stop	stop
1310	go	nightTest/nightSequence2--04168.jpg	go	go	go
1311	go	nightTest/nightSequence1--02071.jpg	go	go	go
1312	stop	dayTest/daySequence2--00946.jpg	stop	stop	stop
1313	stop	nightTest/nightSequence2--01631.jpg	stop	stop	stop
1314	goLeft	nightTest/nightSequence1--03794.jpg	goLeft	goLeft	goLeft
1315	stop	nightTest/nightSequence1--00731.jpg	stop	stop	stop
1316	stop	nightTest/nightSequence2--04814.jpg	stop	stop	stop
1317	stop	nightTest/nightSequence1--00027.jpg	stop	stop	stop
1318	stopLeft	dayTest/daySequence2--05708.jpg	stopLeft	stopLeft	stopLeft
1319	go	nightTest/nightSequence2--04387.jpg	go	go	go
1320	go	nightTest/nightSequence1--03852.jpg	go	go	go
1321	stop	dayTest/daySequence1--00841.jpg	stop	stop	stop
1322	go	dayTest/daySequence1--03865.jpg	go	go	go
1323	stop	nightTest/nightSequence1--02948.jpg	stop	stop	stop
1324	go	dayTest/daySequence2--06782.jpg	go	go	go
1325	go	nightTest/nightSequence1--04443.jpg	go	go	go
1326	go	dayTest/daySequence2--04331.jpg	go	go	go
1327	stop	nightTest/nightSequence2--00198.jpg	stop	stop	stop
1328	stop	dayTest/daySequence2--06458.jpg	stop	stop	stop
1329	stop	nightTest/nightSequence2--03418.jpg	stop	stop	stop
1330	go	nightTest/nightSequence1--01673.jpg	go	go	go
1331	goLeft	dayTest/daySequence2--06271.jpg	goLeft	goLeft	goLeft
1332	warning	nightTest/nightSequence1--02559.jpg	warning	warning	warning
1333	stop	dayTest/daySequence2--05244.jpg	stop	stop	stop
1334	go	nightTest/nightSequence1--01679.jpg	go	go	go
1335	go	nightTest/nightSequence2--04220.jpg	go	go	go
1336	stop	nightTest/nightSequence1--02945.jpg	stop	stop	stop
1337	stop	dayTest/daySequence2--05786.jpg	stop	stop	stop
1338	go	dayTest/daySequence1--00958.jpg	go	go	go
1339	stopLeft	dayTest/daySequence2--05455.jpg	stopLeft	stopLeft	stopLeft
1340	stop	nightTest/nightSequence2--06121.jpg	stop	stop	stop
1341	go	nightTest/nightSequence1--04462.jpg	go	go	go
1342	go	nightTest/nightSequence1--02532.jpg	go	go	go
1343	stop	nightTest/nightSequence1--01589.jpg	stop	stop	stop
1344	stop	nightTest/nightSequence1--03020.jpg	stop	stop	stop
1345	stop	nightTest/nightSequence2--00288.jpg	stop	stop	stop
1346	stop	nightTest/nightSequence1--03156.jpg	stop	stop	stop
1347	stop	nightTest/nightSequence1--02915.jpg	stop	stop	stop
1348	goLeft	dayTest/daySequence2--06505.jpg	goLeft	go	goLeft
1349	go	dayTest/daySequence1--02181.jpg	go	go	go
1350	stop	nightTest/nightSequence2--00326.jpg	stop	stop	stop
1351	go	dayTest/daySequence2--04894.jpg	go	go	go
1352	stop	nightTest/nightSequence2--00564.jpg	stop	stop	stop
1353	stop	dayTest/daySequence1--00750.jpg	stop	stop	stop
1354	go	nightTest/nightSequence2--01432.jpg	go	go	go
1355	go	nightTest/nightSequence1--02221.jpg	go	go	go
1356	stop	nightTest/nightSequence1--03364.jpg	stop	stop	stop
1357	stop	dayTest/daySequence1--00566.jpg	stop	stop	stop
1358	go	dayTest/daySequence1--02955.jpg	go	go	go
1359	stop	nightTest/nightSequence1--01559.jpg	stop	stop	stop
1360	stop	nightTest/nightSequence1--02783.jpg	stop	stop	stop
1361	stop	nightTest/nightSequence2--03348.jpg	stop	stop	stop
1362	go	nightTest/nightSequence2--04314.jpg	go	go	go
1363	stop	nightTest/nightSequence2--01773.jpg	stop	stop	stop
1364	stop	dayTest/daySequence1--03533.jpg	stop	stop	stop
1365	stop	nightTest/nightSequence1--03298.jpg	stop	stop	stop
1366	go	nightTest/nightSequence1--04415.jpg	go	go	go
1367	stop	dayTest/daySequence1--02125.jpg	stop	stop	stop
1368	stop	nightTest/nightSequence2--00521.jpg	stop	stop	stop
1369	stopLeft	nightTest/nightSequence2--05096.jpg	stopLeft	stopLeft	stopLeft
1370	stop	dayTest/daySequence2--00777.jpg	stop	stop	stop
1371	go	nightTest/nightSequence2--06513.jpg	go	go	go
1372	goLeft	nightTest/nightSequence1--03847.jpg	goLeft	goLeft	goLeft
1373	go	nightTest/nightSequence1--04525.jpg	go	go	go
1374	goLeft	nightTest/nightSequence1--03839.jpg	goLeft	goLeft	goLeft
1375	go	dayTest/daySequence2--05024.jpg	go	go	go
1376	stopLeft	dayTest/daySequence2--06142.jpg	stopLeft	stopLeft	stopLeft
1377	stopLeft	dayTest/daySequence2--06025.jpg	stopLeft	stopLeft	stopLeft
1378	go	dayTest/daySequence2--06704.jpg	go	go	go
1379	go	nightTest/nightSequence2--01309.jpg	go	go	go
1380	stop	nightTest/nightSequence2--00074.jpg	stop	stop	stop
1381	stop	nightTest/nightSequence2--06268.jpg	stop	stop	stop
1382	go	dayTest/daySequence1--02754.jpg	go	go	go
1383	go	dayTest/daySequence2--04824.jpg	go	go	go
1384	stop	nightTest/nightSequence2--06339.jpg	stop	stop	stop
1385	go	nightTest/nightSequence2--05514.jpg	go	go	go
1386	stop	dayTest/daySequence2--05408.jpg	stop	stop	stop
1387	stop	dayTest/daySequence2--05588.jpg	stop	stop	stop
1388	stopLeft	nightTest/nightSequence2--04725.jpg	stopLeft	stopLeft	stopLeft
1389	go	dayTest/daySequence1--02206.jpg	go	go	go
1390	go	nightTest/nightSequence2--03088.jpg	go	go	go
1391	stop	nightTest/nightSequence1--03693.jpg	stop	stop	stop
1392	stop	dayTest/daySequence2--06468.jpg	stop	stop	stop
1393	stopLeft	nightTest/nightSequence2--06440.jpg	stopLeft	stopLeft	stop
1394	stopLeft	dayTest/daySequence2--05198.jpg	stopLeft	stopLeft	stopLeft
1395	go	dayTest/daySequence1--01266.jpg	go	go	go
1396	go	nightTest/nightSequence1--01922.jpg	go	go	go
1397	go	nightTest/nightSequence1--00528.jpg	go	go	go
1398	go	nightTest/nightSequence1--02452.jpg	go	go	go
1399	stop	nightTest/nightSequence2--00721.jpg	stop	stop	stop
1400	go	dayTest/daySequence2--03531.jpg	go	go	go
1401	stopLeft	dayTest/daySequence2--05725.jpg	stopLeft	stopLeft	stopLeft
1402	go	nightTest/nightSequence1--02473.jpg	go	go	go
1403	go	nightTest/nightSequence1--04699.jpg	go	go	go
1404	stop	dayTest/daySequence1--00776.jpg	stop	stop	stop
1405	stopLeft	nightTest/nightSequence2--04591.jpg	stopLeft	stopLeft	stopLeft
1406	go	dayTest/daySequence2--06638.jpg	go	go	go
1407	goLeft	nightTest/nightSequence1--03916.jpg	goLeft	goLeft	goLeft
1408	go	nightTest/nightSequence1--03206.jpg	go	go	go
1409	stop	nightTest/nightSequence2--00497.jpg	stop	stop	stop
1410	stop	nightTest/nightSequence2--03648.jpg	stop	stop	stop
1411	go	nightTest/nightSequence2--04479.jpg	go	go	go
1412	stop	dayTest/daySequence2--00913.jpg	stop	stop	stop
1413	go	nightTest/nightSequence2--04140.jpg	go	go	go
1414	go	nightTest/nightSequence2--01175.jpg	go	go	go
1415	go	nightTest/nightSequence1--04172.jpg	go	go	go
1416	stop	nightTest/nightSequence2--01680.jpg	stop	stop	stop
1417	stop	nightTest/nightSequence1--01407.jpg	stop	stop	stop
1418	go	nightTest/nightSequence2--01364.jpg	go	go	go
1419	stopLeft	dayTest/daySequence2--05930.jpg	stopLeft	stopLeft	stopLeft
1420	go	dayTest/daySequence1--02557.jpg	go	go	go
1421	go	nightTest/nightSequence1--01951.jpg	go	go	go
1422	warning	nightTest/nightSequence1--00235.jpg	warning	warning	warning
1423	stopLeft	nightTest/nightSequence2--01314.jpg	stopLeft	stopLeft	stopLeft
1424	go	nightTest/nightSequence2--01368.jpg	go	go	go
1425	warning	dayTest/daySequence2--05113.jpg	warning	warning	warning
1426	stopLeft	nightTest/nightSequence2--05139.jpg	stopLeft	stopLeft	stopLeft
1427	go	nightTest/nightSequence2--04028.jpg	go	go	go
1428	go	dayTest/daySequence1--01293.jpg	go	go	go
1429	stop	nightTest/nightSequence1--02903.jpg	stop	stop	stop
1430	go	nightTest/nightSequence1--02642.jpg	go	go	go
1431	go	nightTest/nightSequence2--03228.jpg	go	go	go
1432	stop	nightTest/nightSequence2--00038.jpg	stop	stop	stop
1433	go	nightTest/nightSequence2--04239.jpg	go	go	go
1434	stop	nightTest/nightSequence1--02915.jpg	stop	stop	stop
1435	stop	nightTest/nightSequence2--02086.jpg	stop	stop	stop
1436	stop	nightTest/nightSequence1--00564.jpg	stop	stop	stop
1437	go	nightTest/nightSequence1--04466.jpg	go	go	go
1438	stop	nightTest/nightSequence1--03431.jpg	stop	stop	stop
1439	go	dayTest/daySequence1--01185.jpg	go	go	go
1440	stop	nightTest/nightSequence2--00833.jpg	stop	stop	stop
1441	stop	dayTest/daySequence1--00720.jpg	stop	stop	stop
1442	go	nightTest/nightSequence2--05304.jpg	go	go	go
1443	go	nightTest/nightSequence2--04494.jpg	go	go	go
1444	stop	nightTest/nightSequence1--02724.jpg	stop	stop	stop
1445	stop	nightTest/nightSequence1--00991.jpg	stop	stop	stop
1446	go	nightTest/nightSequence1--04534.jpg	go	go	go
1447	go	dayTest/daySequence1--03201.jpg	go	go	go
1448	go	dayTest/daySequence2--06831.jpg	go	go	go
1449	go	nightTest/nightSequence2--01274.jpg	go	go	go
1450	go	dayTest/daySequence1--02283.jpg	go	go	go
1451	stopLeft	dayTest/daySequence1--03114.jpg	stopLeft	stopLeft	stopLeft
1452	go	dayTest/daySequence1--01321.jpg	go	go	go
1453	stopLeft	dayTest/daySequence2--06023.jpg	stopLeft	stopLeft	stopLeft
1454	warning	nightTest/nightSequence2--04742.jpg	warning	warning	warning
1455	stop	dayTest/daySequence2--06061.jpg	stop	stop	stop
1456	goLeft	nightTest/nightSequence1--03741.jpg	goLeft	goLeft	goLeft
1457	stopLeft	dayTest/daySequence2--05974.jpg	stopLeft	stopLeft	stopLeft
